string_laukas   int_laukas  double_laukas
testas1         1           1.1
testas2         2           2.2
testas3         3           3.3
testas4         4           4.4
testas5         5           5.5
testas6         6           6.6
testas7         7           7.7
testas8         8           8.8
testas9         9           9.9
testas10        0          10.0
testas11        0          11.1
testas12        1          12.2
testas13        2          13.3
testas14        3          14.4
testas15        4          15.5
testas16        6          16.6
testas17        7          17.7
testas18        8          18.8
testas19        9          19.9
testas20        0          20.0
testas21        1          21.1
testas22        2          22.2
testas23        2          23.3
testas24        4          24.4
testas25        5          25.5
testas26        6          26.6
testas27        2          27.7
testas28        2          28.8
testas29        9          29.9
testas30        3          30.0
testas31        1          31.1
testas32        3          32.2
testas33        3          33.3
testas34        4          34.4
testas35        5          35.5
testas36        3          36.6
testas37        3          37.7
testas38        8          38.8
testas39        9          39.9
testas40        0          40.0
testas41        4          41.1
testas42        4          42.2
testas43        3          43.3
testas44        4          44.4
testas45        4          45.5
testas46        6          46.6
testas47        7          47.7
testas48        8          48.8
testas49        4          49.9
testas50        5          50.0


