string_laukas   int_laukas  double_laukas
testas1         1           1.1
testas2         2           2.2
testas3         3           3.3
testas4         4           4.4
testas5         5           5.5
testas6         6           6.6
testas7         7           7.7
testas8         8           8.8
testas9         9           9.9
testas1        10          10.0
testas1        11          11.1
testas2        12          12.2
testas3        13          13.3
testas4        14          14.4
testas5        15          15.5
testas6        16          16.6
testas7        17          17.7
testas8        18          18.8
testas9        19          19.9
testas2        20          20.0
testas1        21          21.1
testas2        22          22.2
testas3        23          23.3
testas4        24          24.4
testas5        25          25.5
testas6        26          26.6
testas7        27          27.7
testas8        28          28.8
testas9        29          29.9
testas3        30          30.0
testas1        31          31.1
testas2        32          32.2
testas3        33          33.3
testas4        34          34.4
testas5        35          35.5
testas6        36          36.6
testas7        37          37.7
testas8        38          38.8
testas9        39          39.9
testas4        40          40.0
testas1        41          41.1
testas2        42          42.2
testas3        43          43.3
testas4        44          44.4
testas5        45          45.5
testas6        46          46.6
testas7        47          47.7
testas8        48          48.8
testas9        49          49.9
testas5        50          50.0


